AgeCal (Valero-Garces et al 2019),Composite depth (cm),TC,TS,TIC,TOC
2635,60.00,13.14,0.19434,12.012,1.128
3109.9,70.00,13.149,0.27392,12.247,0.901999999999999
3584.2,80.00,13.191,0.20591,12.409,0.782
4062.3,90.00,13.182,0.20805,12.178,1.004
4554.6,100.00,13.52,0.27112,11.95,1.57
5057.2,110.00,13.218,0.22933,11.682,1.536
5915.4,127.22,13.32,0.23968,12.052,1.268
6396.3,137.02,13.062,0.2396,12.095,0.966999999999999
7000.5,149.27,13.213,0.24342,12.094,1.119
7597,161.51,15.789,0.313,10.378,5.411
8188,173.76,13.171,0.29684,12.282,0.888999999999999
8767.6,186.00,13.428,0.3364,12.383,1.045
9052.6,192.00,13.05,0.26527,12.309,0.741000000000001
9527.6,202.00,13.107,0.32853,12.381,0.725999999999999
10003.1,212.00,12.99,0.30029,12.273,0.717000000000001
10479.4,222.00,13.029,0.31993,12.372,0.657
10956,232.00,12.032,0.29246,11.342,0.69
11434.8,242.00,5.205,3.6272,4.0444,1.1606
11913.7,252.00,4.6543,3.1337,3.8942,0.7601
12378.6,262.00,3.854,0.93202,3.4089,0.4451
12710.5,272.00,5.4371,0.17954,5.1049,0.3322
13043.8,282.00,6.5853,0.29141,6.4388,0.146500000000001
13375,292.00,5.7294,1.8964,5.487,0.2424
13708.1,302.00,6.5806,1.012,6.2108,0.3698
14042.2,312.00,6.1931,0.39504,5.9504,0.2427
14359.6,321.41,6.3887,0.54201,6.1473,0.2414
14678.5,330.82,5.8669,1.0533,5.5617,0.3052
15000.4,340.24,6.0183,0.61749,5.7671,0.2512
15321.7,349.65,5.1907,0.099454,5.0057,0.185
15523.7,355.50,6.395,0.40031,5.952,0.443
15796.9,363.50,5.4085,0.26492,4.9277,0.4808
16136.7,373.50,5.8795,0.10382,5.6271,0.2524
16473.6,383.50,5.5273,0.21446,5.2312,0.2961
16808.8,393.50,5.8952,0.32497,5.463,0.4322
17624.4,418.00,7.5825,0.1409,7.1849,0.3976
17956.4,428.00,6.4931,0.1017,6.2069,0.2862
18288.3,438.00,7.5172,0.14613,7.1328,0.3844
18620.3,448.00,7.006,0.18388,6.5764,0.429600000000001
18952.4,458.00,8.082,0.058201,8.0792,0.002800000000001
19284.1,468.00,8.2331,0.088262,7.8905,0.3426
19615.4,478.00,7.5369,0.094871,7.6467,-0.1098
19957,488.34,7.6225,0.1074,7.3263,0.2962
20301.6,498.69,7.1886,0.11929,7.0621,0.1265
20643.8,509.03,7.5566,0.052761,7.6574,-0.1008
20898.9,519.38,7.6297,0.066528,7.6324,-0.0027
21128.9,529.72,9.0108,0.049977,8.8923,0.118499999999999
21315.7,538.00,9.028,0.10406,8.8216,0.2064
21489.4,545.69,8.4157,0.099,8.3012,0.1145
21662.4,553.38,7.9257,0.10043,7.9571,-0.0314
