AgeCal (Valero-Garces et al 2019),Composite depth (cm),MS
2635,60.00,5.78595886
2658.9,60.50,8.68800882
2682.6,61.00,10.1793931
2706.3,61.50,-1.73609818
2730.1,62.00,1.63035968
2753.8,62.50,-1.60994412
2777.5,63.00,1.48985139
2801.1,63.50,0.916625774
2825.1,64.00,-0.429581731
2848.7,64.50,1.19587007
2872.5,65.00,1.61085602
2896.5,65.50,1.59954107
2920,66.00,1.66907016
2943.6,66.50,1.79160611
2967.4,67.00,1.38582985
2991.1,67.50,2.2457739
3014.9,68.00,-0.376694417
3038.6,68.50,1.96130326
3062.5,69.00,2.65623448
3086.3,69.50,0.613720447
3109.9,70.00,1.38150565
3133.6,70.50,0.97337969
3157.4,71.00,0.874198611
3181,71.50,0.258521561
3204.7,72.00,-0.128453043
3228.4,72.50,1.41005691
3252.1,73.00,2.14628779
3275.9,73.50,0.926938891
3299.5,74.00,1.84545081
3323.3,74.50,1.40440494
3346.9,75.00,2.48173495
3370.6,75.50,1.15285166
3394.2,76.00,1.80090424
3441.7,77.00,1.24394228
3465.7,77.50,1.63113315
3489.1,78.00,1.58582985
3513,78.50,2.49966855
3536.8,79.00,1.78582985
3560.6,79.50,1.84076617
3584.2,80.00,1.85576088
3608,80.50,1.87078208
3631.8,81.00,1.17599796
3655.4,81.50,1.88582985
3679.1,82.00,2.11477639
3702.9,82.50,1.64076617
3726.5,83.00,1.41437244
3750.3,83.50,1.13856197
3774.1,84.00,1.55576088
3797.6,84.50,1.71085602
3821.5,85.00,1.64394228
3845.4,85.50,2.09954107
3869.4,86.00,0.158521561
3893.3,86.50,-0.562157498
3917.2,87.00,1.49160611
3941.3,87.50,1.63012036
3965.5,88.00,2.05891337
3989.5,88.50,1.81029531
4013.9,89.00,0.37337969
4038.1,89.50,1.21437244
4062.3,90.00,1.36907016
4086.5,90.50,1.99408718
4111,91.00,2.28954167
4135.2,91.50,1.54576662
4159.5,92.00,1.08490627
4183.9,92.50,0.268741734
4208.6,93.00,1.66526206
4233,93.50,1.2457739
4257.7,94.00,1.79823778
4282.4,94.50,2.33469026
